latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-7.40575,138.80756,329.9,0.44,0.38,2025-08-04,402,N20,VIIRS,n,2,292.44,2.03,D,0.0
-8.34725,118.21241,333.75,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,303.07,4.58,D,0.0
-8.29765,118.43983,342.79,0.42,0.38,2025-08-04,544,N20,VIIRS,n,2,300.68,3.3,D,0.0
-8.43879,117.42192,335.35,0.39,0.36,2025-08-04,544,N20,VIIRS,n,2,304.6,2.26,D,0.0
-8.23906,113.74299,338.25,0.43,0.38,2025-08-04,544,N20,VIIRS,n,2,301.03,7.68,D,0.0
-8.16892,113.57989,342.5,0.44,0.38,2025-08-04,544,N20,VIIRS,n,2,301.8,9.21,D,0.0
-7.92011,114.3665,334.19,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,301.82,3.52,D,0.0
-7.88316,114.45165,334.27,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,299.95,3.83,D,0.0
-7.87921,114.45485,344.11,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,299.08,3.83,D,0.0
-7.83681,114.1718,330.01,0.42,0.37,2025-08-04,544,N20,VIIRS,n,2,299.38,2.65,D,0.0
-7.82652,114.17012,334.78,0.42,0.37,2025-08-04,544,N20,VIIRS,n,2,302.82,4.34,D,0.0
-7.81898,114.14965,341.45,0.42,0.37,2025-08-04,544,N20,VIIRS,n,2,302.06,5.72,D,0.0
-7.74633,114.12242,334.14,0.42,0.37,2025-08-04,544,N20,VIIRS,n,2,302.28,2.69,D,0.0
-7.75045,114.02267,332.77,0.42,0.38,2025-08-04,544,N20,VIIRS,n,2,301.06,3.25,D,0.0
-7.75234,113.9374,332.88,0.42,0.38,2025-08-04,544,N20,VIIRS,n,2,299.02,4.06,D,0.0
-5.52171,122.51577,334.06,0.51,0.5,2025-08-04,544,N20,VIIRS,n,2,294.01,4.61,D,0.0
-6.82448,111.33929,331.47,0.56,0.43,2025-08-04,544,N20,VIIRS,n,2,289.27,2.73,D,0.0
-5.28997,119.40041,330.57,0.5,0.41,2025-08-04,544,N20,VIIRS,n,2,300.24,2.5,D,0.0
-8.6787,116.11891,334.08,0.38,0.36,2025-08-04,544,N20,VIIRS,n,2,302.27,2.59,D,0.0
-8.4183,117.98466,336.92,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,304.92,5.38,D,0.0
-8.3722,118.34303,341.63,0.42,0.37,2025-08-04,544,N20,VIIRS,n,2,302.04,3.84,D,0.0
-8.49535,117.62508,348.01,0.4,0.37,2025-08-04,544,N20,VIIRS,n,2,306.58,8.15,D,0.0
-9.66493,120.03888,332.01,0.48,0.4,2025-08-04,543,N20,VIIRS,n,2,299.78,14.01,D,0.0
-9.65339,119.94862,335.53,0.47,0.4,2025-08-04,543,N20,VIIRS,n,2,299.48,3.84,D,0.0
-9.68378,119.42707,331.59,0.45,0.39,2025-08-04,543,N20,VIIRS,n,2,297.62,2.94,D,0.0
-9.68445,119.42284,331.6,0.45,0.39,2025-08-04,543,N20,VIIRS,n,2,299.74,4.21,D,0.0
-9.6809,119.42224,336.4,0.45,0.39,2025-08-04,543,N20,VIIRS,n,2,299.21,7.19,D,0.0
-9.68843,119.23817,330.84,0.44,0.38,2025-08-04,543,N20,VIIRS,n,2,298.97,1.96,D,0.0
-9.67965,119.18026,330.27,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.16,3.19,D,0.0
-8.50319,117.61893,337.1,0.4,0.37,2025-08-04,544,N20,VIIRS,n,2,305.97,5.24,D,0.0
-4.41173,121.76151,329.1,0.48,0.48,2025-08-04,544,N20,VIIRS,n,2,294.07,2.82,D,0.0
-8.48257,118.15347,342.6,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,306.78,4.44,D,0.0
-8.56528,117.5734,337.26,0.4,0.37,2025-08-04,544,N20,VIIRS,n,2,304.2,4.4,D,0.0
-8.46611,118.14693,348.25,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,305.82,4.25,D,0.0
-8.45702,118.13801,336.21,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,305.26,9.25,D,0.0
-8.45758,118.13442,341.77,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,306.97,11.46,D,0.0
-8.36818,118.68279,337.61,0.43,0.38,2025-08-04,544,N20,VIIRS,n,2,303.81,2.52,D,0.0
-8.45361,118.13748,355.4,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,302.66,9.25,D,0.0
-8.45532,118.12653,344.14,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,303.48,3.63,D,0.0
-8.40679,118.30221,349.98,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,304.94,3.73,D,0.0
-8.45541,118.30592,333.74,0.41,0.37,2025-08-04,544,N20,VIIRS,n,2,301.7,3.86,D,0.0
-2.88402,115.18308,333.84,0.38,0.36,2025-08-04,545,N20,VIIRS,n,2,295.65,3.62,D,0.0
-2.87209,115.08205,328.5,0.38,0.36,2025-08-04,545,N20,VIIRS,n,2,294.95,1.98,D,0.0
-2.20882,115.93895,332.28,0.39,0.36,2025-08-04,545,N20,VIIRS,n,2,291.95,2.33,D,0.0
-2.86917,122.15464,305.6,0.51,0.49,2025-08-04,1647,N20,VIIRS,n,2,289.35,1.41,N,0.0
-8.53758,122.76659,326.99,0.57,0.43,2025-08-04,1648,N20,VIIRS,n,2,297.64,7.71,N,0.0
-8.3594,118.67757,322.28,0.35,0.57,2025-08-04,1648,N20,VIIRS,n,2,292.19,1.12,N,0.0
-8.35994,118.68056,311.13,0.35,0.57,2025-08-04,1648,N20,VIIRS,n,2,292.64,1.12,N,0.0
-8.36301,118.66768,302.7,0.35,0.57,2025-08-04,1648,N20,VIIRS,n,2,291.61,0.71,N,0.0
-8.36356,118.67077,304.81,0.35,0.57,2025-08-04,1648,N20,VIIRS,n,2,291.99,1.42,N,0.0
-8.36464,118.67677,307.22,0.35,0.57,2025-08-04,1648,N20,VIIRS,n,2,291.82,1.12,N,0.0
-8.36519,118.67978,317.15,0.35,0.57,2025-08-04,1648,N20,VIIRS,n,2,292.44,1.12,N,0.0
1.78888,99.46512,354.46,0.49,0.65,2025-08-04,728,N20,VIIRS,n,2,286.45,9.06,D,0.0
-8.37153,118.2702,310.99,0.38,0.58,2025-08-04,1648,N20,VIIRS,n,2,292.19,1.02,N,0.0
-8.57432,117.70757,303.15,0.41,0.6,2025-08-04,1649,N20,VIIRS,n,2,291.6,0.67,N,0.0
-8.74741,117.87407,301.56,0.39,0.6,2025-08-04,1649,N20,VIIRS,n,2,291.02,0.3,N,0.0
-8.55565,118.32572,303.06,0.37,0.58,2025-08-04,1649,N20,VIIRS,n,2,291.1,0.35,N,0.0
-3.03514,115.15212,299.93,0.57,0.69,2025-08-04,1827,N20,VIIRS,n,2,276.09,0.97,N,0.0
-3.03251,115.15411,296.52,0.57,0.69,2025-08-04,1827,N20,VIIRS,n,2,275.1,1.07,N,0.0
-2.99107,104.15433,312.11,0.39,0.36,2025-08-04,1828,N20,VIIRS,n,2,286.55,0.79,N,0.0
-4.54996,104.83006,302.89,0.41,0.37,2025-08-04,1828,N20,VIIRS,n,2,270.54,0.83,N,0.0
-2.98775,104.15484,318.37,0.39,0.36,2025-08-04,1828,N20,VIIRS,n,2,287.9,1.09,N,0.0
-7.7741,114.19952,300.34,0.72,0.76,2025-08-04,1649,N20,VIIRS,n,2,288.29,0.9,N,0.0
-9.66859,120.03947,341.32,0.48,0.4,2025-08-04,543,N20,VIIRS,n,2,306.18,14.01,D,0.0
-1.185,101.40407,328.2,0.59,0.7,2025-08-04,727,N20,VIIRS,n,2,287.63,4.35,D,0.0
-2.01832,101.05003,327.25,0.54,0.68,2025-08-04,726,N20,VIIRS,n,2,284.64,3.42,D,0.0
-4.31509,119.84067,330.62,0.54,0.42,2025-08-04,545,N20,VIIRS,n,2,295.87,5.18,D,0.0
-2.35537,119.59499,332.11,0.56,0.43,2025-08-04,545,N20,VIIRS,n,2,295.12,6.45,D,0.0
0.58488,116.75474,341.15,0.43,0.38,2025-08-04,546,N20,VIIRS,n,2,296.01,7.2,D,0.0
0.76944,117.52583,332.51,0.47,0.4,2025-08-04,546,N20,VIIRS,n,2,293.49,3.65,D,0.0
0.99478,116.85777,344.12,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,295.71,12.26,D,0.0
0.98006,116.68778,337.19,0.43,0.38,2025-08-04,546,N20,VIIRS,n,2,293.46,3.56,D,0.0
1.06483,117.17924,333.14,0.46,0.39,2025-08-04,546,N20,VIIRS,n,2,292.58,4.19,D,0.0
1.0387,116.79093,335.78,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,294.89,9.42,D,0.0
-2.83324,101.55448,327.83,0.57,0.69,2025-08-04,726,N20,VIIRS,n,2,286.7,6.45,D,0.0
1.34383,116.68131,340.01,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,295.53,28.56,D,0.0
1.35958,116.66691,344.81,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,298.27,10.22,D,0.0
-0.56429,102.64728,330.22,0.59,0.7,2025-08-04,546,N20,VIIRS,n,2,281.94,9.4,D,0.0
-1.57337,103.69241,325.98,0.51,0.66,2025-08-04,546,N20,VIIRS,n,2,281.27,4.11,D,0.0
2.78637,117.31739,332.82,0.48,0.4,2025-08-04,547,N20,VIIRS,n,2,292.91,4.93,D,0.0
2.78587,117.31876,333.08,0.48,0.4,2025-08-04,547,N20,VIIRS,n,2,293.36,5.44,D,0.0
