latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,bright_t31
-8.85833,140.98502,333.45,0.43,0.38,2026-08-06,408,N,VIIRS,n,2.0NRT,294.56,2.37,D,,
0.6411,117.06756,343.06,0.58,0.52,2026-08-06,610,N20,VIIRS,n,2.0NRT,297.16,9.52,D,,
0.62018,117.09201,341.5,0.59,0.52,2026-08-06,610,N20,VIIRS,n,2.0NRT,294.3,7.38,D,,
0.61617,117.09809,340.76,0.59,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,296.51,27.12,D,,
0.60761,117.10164,337.35,0.59,0.52,2026-08-06,610,N20,VIIRS,n,2.0NRT,295.95,6.05,D,,
0.60732,117.10482,339.98,0.59,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,295.48,8.48,D,,
0.54981,117.1428,329.82,0.59,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,296.71,4.1,D,,
0.54501,117.17605,341.82,0.59,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,297.2,14.68,D,,
0.5346,117.2379,349.86,0.6,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,297.18,23.68,D,,
0.31067,116.7418,337.39,0.55,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,298.1,5.79,D,,
0.2392,116.28754,339.03,0.51,0.49,2026-08-06,610,N20,VIIRS,n,2.0NRT,298.34,4.05,D,,
0.16812,116.64197,336.58,0.54,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.75,9.61,D,,
0.16737,116.63716,331.54,0.54,0.5,2026-08-06,610,N20,VIIRS,l,2.0NRT,303.26,7.14,D,,
0.16347,116.64264,355.75,0.54,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.73,27.48,D,,
0.16272,116.63783,350.1,0.54,0.5,2026-08-06,610,N20,VIIRS,n,2.0NRT,301.19,14.43,D,,
0.1079,116.79416,333.62,0.55,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,298.32,9.96,D,,
0.10576,116.79568,342.39,0.55,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,300.83,9.49,D,,
0.08062,116.77309,332.71,0.55,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,298.84,4.53,D,,
-0.02718,116.74259,340.89,0.54,0.51,2026-08-06,610,N20,VIIRS,n,2.0NRT,294.49,3.1,D,,
-0.04504,117.50693,338.93,0.61,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,295.55,4.73,D,,
-0.09633,116.391,347.81,0.51,0.49,2026-08-06,610,N20,VIIRS,n,2.0NRT,300.97,17.38,D,,
-0.10995,116.39302,336.0,0.51,0.49,2026-08-06,610,N20,VIIRS,n,2.0NRT,297.7,3.87,D,,
-0.1207,114.0927,354.27,0.54,0.42,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.46,24.42,D,,
-0.12637,115.99519,337.34,0.48,0.48,2026-08-06,610,N20,VIIRS,n,2.0NRT,297.62,4.06,D,,
-0.14626,116.27765,339.99,0.5,0.49,2026-08-06,610,N20,VIIRS,n,2.0NRT,299.18,7.14,D,,
-0.17186,112.35747,342.62,0.44,0.39,2026-08-06,610,N20,VIIRS,n,2.0NRT,305.49,10.48,D,,
-0.17322,117.21662,330.41,0.58,0.52,2026-08-06,610,N20,VIIRS,n,2.0NRT,292.31,3.27,D,,
-0.17369,112.58299,347.08,0.45,0.39,2026-08-06,610,N20,VIIRS,n,2.0NRT,303.39,12.4,D,,
0.65654,117.16807,340.41,0.59,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,295.54,7.57,D,,
0.9026,121.41768,336.46,0.59,0.7,2026-08-06,610,N20,VIIRS,n,2.0NRT,292.95,5.8,D,,
-1.13636,102.78027,339.94,0.54,0.51,2026-08-06,612,N20,VIIRS,n,2.0NRT,293.03,6.4,D,,
-0.6663,101.23851,335.99,0.34,0.56,2026-08-06,612,N20,VIIRS,n,2.0NRT,288.9,3.01,D,,
-0.30197,109.62238,346.07,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,285.03,4.14,D,,
-0.30249,109.61895,336.22,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,285.33,8.28,D,,
-0.30273,110.68475,336.0,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,304.91,5.45,D,,
-0.30326,110.68128,334.78,0.39,0.36,2026-08-06,612,N20,VIIRS,l,2.0NRT,307.46,5.64,D,,
-0.30337,110.70282,346.79,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,308.82,10.73,D,,
-0.30382,110.32372,340.32,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,306.59,13.95,D,,
-0.30411,110.3664,337.74,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,307.55,2.93,D,,
-0.30475,109.62632,347.0,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,280.92,4.14,D,,
-0.30528,109.62289,330.58,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,285.29,4.14,D,,
-0.30671,110.70334,334.46,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,303.52,5.01,D,,
-0.3089,110.80081,337.71,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,303.8,3.89,D,,
-0.30911,109.61995,334.24,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,283.15,5.63,D,,
-0.31015,109.61308,334.16,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,287.85,4.34,D,,
-0.17611,112.32986,336.3,0.44,0.38,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.5,9.24,D,,
-0.31068,109.60965,347.92,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,289.14,4.34,D,,
-0.32671,109.54883,334.87,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,292.45,4.18,D,,
-0.33054,109.54589,330.92,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,292.68,6.91,D,,
-0.33414,110.36868,331.59,0.39,0.36,2026-08-06,612,N20,VIIRS,l,2.0NRT,303.07,2.2,D,,
-0.33721,110.41521,345.0,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,302.43,8.48,D,,
-0.34275,110.33458,338.44,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,305.96,4.39,D,,
-0.34742,110.3707,342.65,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,303.03,9.77,D,,
-0.35702,110.48578,330.88,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,300.43,2.2,D,,
-0.35787,110.03543,349.16,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,301.69,7.93,D,,
-0.3593,109.93714,332.56,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,300.55,2.87,D,,
-0.3752,110.23336,331.44,0.39,0.36,2026-08-06,612,N20,VIIRS,l,2.0NRT,305.15,2.18,D,,
-0.38781,109.1707,351.48,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,299.53,7.26,D,,
-0.39086,110.10871,346.84,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,304.43,9.3,D,,
-0.41842,109.19343,345.39,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,292.77,5.07,D,,
-0.32341,109.54833,330.72,0.38,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,296.95,3.09,D,,
-0.30172,110.60228,335.61,0.39,0.36,2026-08-06,612,N20,VIIRS,n,2.0NRT,299.27,23.52,D,,
-0.18018,112.35039,343.16,0.44,0.39,2026-08-06,610,N20,VIIRS,n,2.0NRT,301.39,14.51,D,,
-0.1825,111.67285,338.03,0.42,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,306.78,5.23,D,,
-0.27839,111.6872,345.04,0.42,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,303.88,60.56,D,,
-0.28126,111.69144,347.38,0.42,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,306.89,23.18,D,,
-0.29033,110.98978,346.13,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.05,6.34,D,,
-0.29697,111.40719,344.35,0.41,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,308.88,11.58,D,,
-0.30497,110.89386,332.22,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,300.44,1.74,D,,
-0.30767,111.74889,339.26,0.42,0.38,2026-08-06,610,N20,VIIRS,n,2.0NRT,306.75,9.82,D,,
-0.31235,117.41746,334.65,0.59,0.53,2026-08-06,610,N20,VIIRS,n,2.0NRT,293.43,3.0,D,,
-0.33108,110.97043,344.44,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.52,13.89,D,,
-0.33162,110.96684,335.28,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,299.22,4.08,D,,
-0.33233,110.80432,333.45,0.39,0.36,2026-08-06,610,N20,VIIRS,n,2.0NRT,303.02,5.08,D,,
-0.33444,110.97089,345.7,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,304.55,16.84,D,,
-0.33499,110.9673,339.5,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.47,18.17,D,,
-0.33567,110.80482,333.45,0.39,0.36,2026-08-06,610,N20,VIIRS,n,2.0NRT,304.25,5.08,D,,
-0.3383,111.88835,334.96,0.42,0.38,2026-08-06,610,N20,VIIRS,n,2.0NRT,300.7,4.1,D,,
-0.34171,111.02694,334.29,0.4,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.57,5.0,D,,
-0.34328,111.56051,330.25,0.41,0.37,2026-08-06,610,N20,VIIRS,l,2.0NRT,300.26,1.73,D,,
-0.34683,111.60636,332.35,0.41,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,301.35,3.55,D,,
-0.34701,112.4645,336.43,0.45,0.39,2026-08-06,610,N20,VIIRS,n,2.0NRT,303.07,5.51,D,,
-0.34739,111.60266,331.71,0.41,0.37,2026-08-06,610,N20,VIIRS,n,2.0NRT,301.4,3.55,D,,
-0.34763,115.52843,337.56,0.44,0.46,2026-08-06,610,N20,VIIRS,n,2.0NRT,301.64,4.05,D,,
-0.35081,111.60319,332.22,0.41,0.37,2026-08-06,610,N20,VIIRS,l,2.0NRT,303.21,3.55,D,,
-0.36412,112.47114,342.94,0.45,0.39,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.58,5.51,D,,
-0.37102,115.90029,335.87,0.47,0.48,2026-08-06,610,N20,VIIRS,n,2.0NRT,302.04,7.56,D,,
